[07-01-24 02:05:29.513480] | v.0.11| user:FilipChuwi |> Playing main: Assets\Audio\music\main\music_main_2.mp3
[07-01-24 02:05:29.555083] | v.0.11| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[07-01-24 02:05:29.565316] | v.0.11| user:FilipChuwi |> main.py ENTRY POINT
[07-01-24 02:06:00.591269] | v.0.11| user:FilipChuwi |> Now playing: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_00a_.mp3
[07-01-24 02:06:07.285467] | v.0.11| user:FilipChuwi |> Now playing: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_elxr_chc_1.mp3
[07-01-24 02:06:07.329906] | v.0.11| user:FilipChuwi |> Now playing: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_elxr_chc_5.mp3
[07-01-24 02:06:13.712628] | v.0.11| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[07-01-24 02:06:13.728151] | v.0.11| user:FilipChuwi |> Game saved to: C:\Users\FilipChuwi\Documents\Jacek Ciesielski - Dreszcz\saves\dreszcz_24-01-07_13.json
[07-01-24 02:06:13.741325] | v.0.11| user:FilipChuwi |> setup.json has been updated
[07-01-24 02:06:13.971705] | v.0.11| user:FilipChuwi |> Now playing: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_00b_.mp3
[07-01-24 02:06:16.783564] | v.0.11| user:FilipChuwi |> list of available actions: ['01']
[07-01-24 02:06:16.791149] | v.0.11| user:FilipChuwi |> Looking for game states in '~\Documents' folder path for saving json file
[07-01-24 02:06:16.800530] | v.0.11| user:FilipChuwi |> Game saved to: C:\Users\FilipChuwi\Documents\Jacek Ciesielski - Dreszcz\saves\dreszcz_24-01-07_13.json
[07-01-24 02:06:16.810955] | v.0.11| user:FilipChuwi |> setup.json has been updated
[07-01-24 02:06:16.817878] | v.0.11| user:FilipChuwi |> evaluated: 01
[07-01-24 02:06:17.055216] | v.0.11| user:FilipChuwi |> Now playing: Assets\Audio\Voice\Adam\pl\audiobook_adam_pl_01_.mp3
